barangay,Childcare,Health centers,Long-term care and rehabilitation services,Older persons care,Quezon City satellite offices for services,Schools,Trainings,Total,psgc_code,district,area_km2,pop_census,pop_male,pop_female,age_0_2,age_0_2_m,age_0_2_f,age_3_5,age_3_5_m,age_3_5_f,age_0_5,age_0_5_m,age_0_5_f,age_6_17,age_6_17_m,age_6_17_f,age_18_59,age_18_59_m,age_18_59_f,age_60plus,age_60plus_m,age_60plus_f,age_80plus,age_80plus_m,age_80plus_f,children_0_5_childcare,children_0_17_total,pop_density_km2,seniors_registered,pwd_registered,seniors_density_km2,seniors_per_1000_census,pwd_density_km2,pwd_per_1000_census,disability_prevalence_rate_pct,sex_ratio_m_per_100f,share_women_18_59_pct,child_woman_ratio,pop_cbms_secondary,cbms_avg_household_size,cbms_avg_nuclear_families_per_hh,cbms_food_insecurity_prevalence_pct,cbms_food_severe_wholeday_pct,cbms_food_intensity_score,cbms_housing_inadequacy_index_pct,cbms_housing_makeshift_severe_pct,migrant_workers_total,migrant_workers_male,migrant_workers_female,ratio_child,ratio_childcare,ratio_childcare_f,ratio_childcare_m,ratio_old_60,ratio_old_60_f,ratio_old_60_m,ratio_pwd,ratio_school_3_5,ratio_school_3_5_f,ratio_school_3_5_m,ratio_school_6_17,ratio_school_6_17_f,ratio_school_6_17_m,ratio_old_80,ratio_old_80_f,ratio_old_80_m,ratio_pop_health,ratio_pop_health_f,ratio_pop_health_m,ratio_child_health,ratio_child_health_f,ratio_child_health_m,ratio_old_health,ratio_old_health_f,ratio_old_health_m,ratio_pwd_health,domestic_workers_female,domestic_workers_male,domestic_workers_total
Obrero,1,0,1,0,0,2,0,4,,4,0.249,9500,4806,4694,525,238,287,514,242,272,1039,480,559,1911,1053,858,5746,2924,2822,804,349,455,71,26,45,1039,2950,38152.6,1372.0,430,5510.0,144.4,1726.9,45.3,4.53,102.4,29.71,345.6,6446.0,3.45,1.11,15.85,6.75,3.978,21.34,0.75,47.0,24.0,23.0,0.9624639076,0.9624639076,1.788908766,2.083333333,0.0,0.0,0.0,2.325581395,3.891050584,7.352941176,8.26446281,1.046572475,2.331002331,1.899335233,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Old Capitol Site,2,0,0,0,0,0,0,2,,4,0.1817,1319,632,687,85,46,39,63,28,35,148,74,74,223,117,106,864,401,463,84,40,44,6,1,5,148,371,7259.2,698.0,248,3841.5,529.2,1364.9,188.0,18.8,92.0,35.1,302.2,1047.0,3.84,1.22,3.3,1.83,4.149,17.22,0.73,108.0,30.0,78.0,13.51351351,13.51351351,27.02702703,27.02702703,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Paang Bundok,1,1,1,0,0,2,0,5,,1,0.1651,4806,2321,2485,175,91,84,234,112,122,409,203,206,959,497,462,2844,1383,1461,594,238,356,68,20,48,409,1368,29109.6,1225.0,222,7419.7,254.9,1344.6,46.2,4.62,93.4,30.4,251.3,2840.0,3.23,1.1,15.36,1.25,2.981,9.46,0.34,62.0,36.0,26.0,2.444987775,2.444987775,4.854368932,4.926108374,0.0,0.0,0.0,4.504504505,8.547008547,16.39344262,17.85714286,2.085505735,4.329004329,4.024144869,0.0,0.0,0.0,0.2080732418,0.4024144869,0.4308487721,2.444987775,4.854368932,4.926108374,1.683501684,2.808988764,4.201680672,4.504504505,32.0,1.0,33.0
Pag-ibig sa Nayon,1,0,0,0,0,1,0,2,,1,0.3717,5915,2848,3067,312,168,144,356,170,186,668,338,330,1187,561,626,3557,1742,1815,503,207,296,40,7,33,668,1855,15913.4,741.0,163,1993.5,125.3,438.5,27.6,2.76,92.9,30.68,340.6,4396.0,2.83,1.03,17.67,4.11,3.654,8.78,0.0,8.0,5.0,3.0,1.497005988,1.497005988,3.03030303,2.958579882,0.0,0.0,0.0,0.0,2.808988764,5.376344086,5.882352941,0.8424599832,1.597444089,1.782531194,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Paligsahan,2,0,3,0,1,12,0,18,,4,0.5788,3518,1735,1783,143,78,65,105,57,48,248,135,113,549,288,261,2288,1141,1147,433,171,262,38,11,27,248,797,6078.1,1075.0,275,1857.3,305.6,475.1,78.2,7.82,97.3,32.6,213.7,3314.0,2.35,1.08,1.49,0.64,3.783,7.22,0.43,48.0,28.0,20.0,8.064516129,8.064516129,17.69911504,14.81481481,0.0,0.0,0.0,10.90909091,114.2857143,250.0,210.5263158,21.8579235,45.97701149,41.66666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,3.0,13.0
Paltok,2,2,1,0,0,8,0,13,,1,0.6582,18117,8816,9301,980,483,497,958,464,494,1938,947,991,3482,1771,1711,10935,5399,5536,1762,699,1063,193,54,139,1938,5420,27525.1,2724.0,616,4138.6,150.4,935.9,34.0,3.4,94.8,30.56,330.2,9674.0,3.75,1.07,38.03,6.79,3.506,14.58,0.27,159.0,58.0,101.0,1.031991744,1.031991744,2.018163471,2.111932418,0.0,0.0,0.0,1.623376623,8.350730689,16.19433198,17.24137931,2.297530155,4.675628288,4.517221909,0.0,0.0,0.0,0.110393553,0.2150306419,0.2268602541,1.031991744,2.018163471,2.111932418,1.13507378,1.881467545,2.861230329,3.246753247,0.0,0.0,0.0
Pansol,3,2,0,0,0,0,0,5,,3,3.3121,35234,17787,17447,2303,1169,1134,2265,1121,1144,4568,2290,2278,8001,4246,3755,20289,10233,10056,2376,1018,1358,188,59,129,4568,12569,10638.0,3744.0,1220,1130.4,106.3,368.3,34.6,3.46,101.9,28.54,412.4,26987.0,3.78,1.16,25.51,5.14,3.291,10.04,1.13,383.0,158.0,225.0,0.6567425569,0.6567425569,1.316944688,1.310043668,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05676335358,0.1146328882,0.1124416709,0.4378283713,0.8779631255,0.8733624454,0.8417508418,1.47275405,1.964636542,1.639344262,68.0,2.0,70.0
Paraiso,0,0,1,0,0,0,0,1,,1,0.1537,3537,1745,1792,153,80,73,149,66,83,302,146,156,619,349,270,2274,1104,1170,342,146,196,40,7,33,302,921,23012.4,699.0,149,4547.8,197.6,969.4,42.1,4.21,97.4,33.08,256.5,1296.0,3.51,1.08,18.7,1.36,3.31,11.56,0.0,37.0,17.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.711409396,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Pasong Putik Proper,2,2,1,0,0,13,0,18,,5,2.3966,39830,19971,19859,2682,1412,1270,2460,1279,1181,5142,2691,2451,9073,4600,4473,22788,11443,11345,2827,1237,1590,265,82,183,5142,14215,16619.4,4902.0,1305,2045.4,123.1,544.5,32.8,3.28,100.6,28.48,409.6,29880.0,3.72,1.16,19.82,8.44,3.96,4.67,0.71,417.0,196.0,221.0,0.3889537145,0.3889537145,0.8159934721,0.7432181345,0.0,0.0,0.0,0.7662835249,5.284552846,11.00762066,10.16419077,1.432822661,2.90632685,2.826086957,0.0,0.0,0.0,0.05021340698,0.1007100055,0.1001452106,0.3889537145,0.8159934721,0.7432181345,0.7074637425,1.257861635,1.616814875,1.53256705,4.0,0.0,4.0
Pasong Tamo,10,1,2,0,0,54,0,67,,6,4.9821,110572,55488,55084,7076,3669,3407,7080,3713,3367,14156,7382,6774,24008,12440,11568,64500,32286,32214,7908,3380,4528,585,169,416,14156,38164,22193.9,13515.0,3460,2712.7,122.2,694.5,31.3,3.13,100.7,29.13,398.0,82651.0,3.49,1.08,22.01,2.79,3.095,6.02,0.24,1409.0,572.0,837.0,0.7064142413,0.7064142413,1.476232654,1.354646437,0.0,0.0,0.0,0.5780346821,7.627118644,16.03801604,14.54349583,2.24925025,4.668049793,4.340836013,0.0,0.0,0.0,0.00904388091,0.01815409193,0.01802191465,0.07064142413,0.1476232654,0.1354646437,0.1264542236,0.2208480565,0.2958579882,0.289017341,395.0,6.0,401.0
Payatas,17,5,0,0,0,50,0,72,,2,3.2387,139640,70921,68719,10825,5583,5242,10036,5232,4804,20861,10815,10046,35578,18435,17143,75784,38426,37358,7417,3245,4172,445,119,326,20861,56439,43116.1,15124.0,3507,4669.8,108.3,1082.8,25.1,2.51,103.2,26.75,490.9,130561.0,3.9,1.07,28.7,5.8,3.389,4.72,0.33,1578.0,556.0,1022.0,0.8149177892,0.8149177892,1.692215807,1.571890892,0.0,0.0,0.0,0.0,4.982064568,10.40799334,9.556574924,1.405362865,2.916642361,2.712232167,0.0,0.0,0.0,0.03580635921,0.07276008091,0.07050097996,0.2396817027,0.4977105316,0.4623208507,0.6741270055,1.198465964,1.540832049,1.425719989,191.0,5.0,196.0
Phil-Am,0,0,1,1,0,1,0,3,,1,0.4445,2515,1137,1378,37,18,19,67,28,39,104,46,58,260,144,116,1701,764,937,450,183,267,88,30,58,104,364,5658.0,783.0,167,1761.5,311.3,375.7,66.4,6.64,82.5,37.26,110.2,1590.0,2.94,1.08,1.67,0.56,3.733,0.99,0.0,5.0,1.0,4.0,0.0,0.0,0.0,0.0,2.222222222,3.745318352,5.464480874,5.988023952,14.92537313,25.64102564,35.71428571,3.846153846,8.620689655,6.944444444,11.36363636,17.24137931,33.33333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,45.0,1.0,46.0
Pinagkaisahan,1,1,0,0,0,2,0,4,,4,0.3361,4357,2130,2227,169,83,86,170,101,69,339,184,155,690,352,338,2917,1436,1481,411,158,253,48,14,34,339,1029,12963.4,1213.0,311,3609.0,278.4,925.3,71.4,7.14,95.6,33.99,226.1,2562.0,2.9,1.02,26.87,2.95,2.62,10.05,0.0,27.0,11.0,16.0,2.949852507,2.949852507,6.451612903,5.434782609,0.0,0.0,0.0,0.0,11.76470588,28.98550725,19.8019802,2.898550725,5.917159763,5.681818182,0.0,0.0,0.0,0.2295157218,0.4490345757,0.4694835681,2.949852507,6.451612903,5.434782609,2.433090024,3.95256917,6.329113924,3.215434084,3.0,0.0,3.0
Pinyahan,2,1,3,0,0,11,0,17,,4,1.5696,21724,10708,11016,1294,667,627,1237,629,608,2531,1296,1235,4196,2141,2055,13323,6568,6755,1674,703,971,151,45,106,2531,6727,13840.5,3739.0,1248,2382.1,172.1,795.1,57.4,5.74,97.2,31.09,351.6,15396.0,3.37,1.11,16.79,4.42,3.558,17.33,0.18,177.0,76.0,101.0,0.7902015014,0.7902015014,1.619433198,1.543209877,0.0,0.0,0.0,2.403846154,8.892481811,18.09210526,17.48807631,2.621544328,5.352798054,5.137786081,0.0,0.0,0.0,0.0460320383,0.09077705156,0.09338812103,0.3951007507,0.8097165992,0.7716049383,0.5973715651,1.029866117,1.422475107,0.8012820513,0.0,0.0,0.0
Project 6,1,1,1,0,0,11,0,14,,1,1.5292,11832,5659,6173,574,275,299,524,275,249,1098,550,548,2170,1100,1070,7263,3490,3773,1301,519,782,160,47,113,1098,3268,7737.4,2598.0,615,1698.9,219.6,402.2,52.0,5.2,91.7,31.89,283.6,9312.0,2.86,1.04,23.23,15.25,4.267,10.71,0.21,157.0,69.0,88.0,0.9107468124,0.9107468124,1.824817518,1.818181818,0.0,0.0,0.0,1.62601626,20.99236641,44.17670683,40.0,5.069124424,10.28037383,10.0,0.0,0.0,0.0,0.08451656525,0.1619957881,0.176709666,0.9107468124,1.824817518,1.818181818,0.7686395081,1.278772379,1.926782274,1.62601626,0.0,0.0,0.0
Quirino 2-A,1,0,0,0,0,1,0,2,,3,0.1745,4622,2225,2397,195,101,94,199,94,105,394,195,199,821,432,389,2781,1352,1429,626,246,380,82,18,64,394,1215,26487.1,1003.0,237,5747.9,217.0,1358.2,51.3,5.13,92.8,30.92,261.1,3041.0,3.02,1.06,10.63,1.29,2.981,6.52,0.5,21.0,11.0,10.0,2.538071066,2.538071066,5.025125628,5.128205128,0.0,0.0,0.0,0.0,5.025125628,9.523809524,10.63829787,1.218026797,2.570694087,2.314814815,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,82.0,3.0,85.0
Quirino 2-B,1,1,1,0,0,3,0,6,,3,0.1482,3922,1928,1994,132,84,48,157,83,74,289,167,122,585,298,287,2507,1227,1280,541,236,305,66,16,50,289,874,26464.2,910.0,242,6140.4,232.0,1632.9,61.7,6.17,96.7,32.64,213.1,2133.0,2.85,1.14,5.35,0.8,2.951,13.37,0.0,33.0,23.0,10.0,3.460207612,3.460207612,8.196721311,5.988023952,0.0,0.0,0.0,4.132231405,19.10828025,40.54054054,36.14457831,5.128205128,10.45296167,10.06711409,0.0,0.0,0.0,0.2549719531,0.5015045135,0.5186721992,3.460207612,8.196721311,5.988023952,1.848428835,3.278688525,4.237288136,4.132231405,49.0,9.0,58.0
Quirino 2-C,1,0,0,0,0,0,0,1,,3,0.075,3189,1576,1613,126,81,45,143,72,71,269,153,116,614,343,271,1936,939,997,370,141,229,62,20,42,269,883,42520.0,691.0,190,9213.3,216.7,2533.3,59.6,5.96,97.7,31.26,261.2,2243.0,3.24,1.18,13.42,4.91,3.92,7.94,0.0,45.0,23.0,22.0,3.717472119,3.717472119,8.620689655,6.535947712,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
Quirino 3-A,0,0,1,0,0,4,0,5,,3,0.0565,1056,527,529,39,23,16,32,18,14,71,41,30,143,81,62,748,360,388,94,45,49,8,3,5,71,214,18690.3,262.0,78,4637.2,248.1,1380.5,73.9,7.39,99.6,36.74,195.7,353.0,3.1,1.19,16.67,0.88,2.5,2.63,0.0,11.0,5.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.82051282,125.0,285.7142857,222.2222222,27.97202797,64.51612903,49.38271605,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ramon Magsaysay,2,0,2,0,0,5,0,9,,1,0.3425,14321,7019,7302,735,351,384,728,382,346,1463,733,730,2866,1430,1436,8806,4373,4433,1186,483,703,109,26,83,1463,4329,41813.1,2368.0,590,6913.9,165.4,1722.6,41.2,4.12,96.1,30.95,305.7,11139.0,3.04,1.06,13.38,10.35,4.354,8.82,0.19,204.0,86.0,118.0,1.367053999,1.367053999,2.739726027,2.72851296,0.0,0.0,0.0,3.389830508,6.868131868,14.45086705,13.08900524,1.744591766,3.48189415,3.496503497,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,52.0,1.0,53.0
Roxas,1,2,2,0,0,9,0,14,,4,0.4536,10665,5181,5484,521,222,299,547,277,270,1068,499,569,2050,1028,1022,6458,3182,3276,1089,472,617,107,36,71,1068,3118,23511.9,2468.0,577,5440.9,231.4,1272.0,54.1,5.41,94.5,30.72,309.9,7594.0,3.26,1.04,25.75,3.83,3.327,8.95,1.29,70.0,41.0,29.0,0.936329588,0.936329588,1.757469244,2.004008016,0.0,0.0,0.0,3.466204506,16.45338208,33.33333333,32.49097473,4.390243902,8.806262231,8.754863813,0.0,0.0,0.0,0.1875293015,0.3646973012,0.3860258637,1.872659176,3.514938489,4.008016032,1.836547291,3.241491086,4.237288136,3.466204506,0.0,0.0,0.0
Sacred Heart,0,0,3,0,0,13,0,16,,4,0.5287,6089,3022,3067,259,138,121,309,173,136,568,311,257,1036,512,524,3814,1911,1903,671,288,383,73,27,46,568,1604,11516.9,1367.0,347,2585.6,224.5,656.3,57.0,5.7,98.5,31.25,284.2,3211.0,2.6,1.03,12.07,1.13,2.663,12.41,1.14,80.0,35.0,45.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.645533141,42.07119741,95.58823529,75.14450867,12.54826255,24.80916031,25.390625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Salvacion,1,0,0,0,0,2,0,3,,1,0.2107,6681,3268,3413,319,171,148,282,146,136,601,317,284,1119,611,508,4031,1967,2064,930,373,557,101,27,74,601,1720,31708.6,1421.0,271,6744.2,212.7,1286.2,40.6,4.06,95.8,30.89,279.2,4294.0,3.31,1.07,18.5,7.48,4.143,8.67,1.16,51.0,29.0,22.0,1.663893511,1.663893511,3.521126761,3.154574132,0.0,0.0,0.0,0.0,7.092198582,14.70588235,13.69863014,1.787310098,3.937007874,3.273322422,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
San Agustin,5,0,1,0,0,13,0,19,,5,1.0089,25336,12592,12744,1616,871,745,1469,792,677,3085,1663,1422,5486,2779,2707,14595,7228,7367,2170,922,1248,171,50,121,3085,8571,25112.5,3989.0,1061,3953.8,157.4,1051.6,41.9,4.19,98.8,29.08,391.1,22276.0,3.76,1.15,18.07,3.1,3.528,5.77,1.9,358.0,156.0,202.0,1.620745543,1.620745543,3.516174402,3.006614552,0.0,0.0,0.0,0.9425070688,8.849557522,19.20236337,16.41414141,2.369668246,4.802364241,4.677941706,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,64.0,0.0,64.0
San Antonio,3,2,0,0,1,3,0,9,,1,0.7465,22229,11106,11123,1236,634,602,1250,625,625,2486,1259,1227,4573,2328,2245,13231,6726,6505,1939,793,1146,176,50,126,2486,7059,29777.6,3455.0,811,4628.3,155.4,1086.4,36.5,3.65,99.8,29.26,353.3,18628.0,3.48,1.04,18.09,7.13,3.755,8.81,0.24,363.0,143.0,220.0,1.206757844,1.206757844,2.444987775,2.382843527,0.0,0.0,0.0,0.0,2.4,4.8,4.8,0.6560244916,1.336302895,1.288659794,0.0,0.0,0.0,0.08997255837,0.1798076059,0.1800828381,0.8045052293,1.62999185,1.588562351,1.031459515,1.745200698,2.522068096,2.466091245,0.0,0.0,0.0
San Bartolome,4,2,0,0,0,39,0,45,,5,3.5902,51055,25114,25941,2790,1416,1374,2772,1450,1322,5562,2866,2696,10389,5293,5096,30259,14980,15279,4845,1975,2870,423,122,301,5562,15951,14220.7,8039.0,2119,2239.2,157.5,590.2,41.5,4.15,96.8,29.93,334.3,36416.0,3.78,1.07,17.31,1.36,2.641,7.51,0.33,752.0,352.0,400.0,0.7191657677,0.7191657677,1.483679525,1.395673412,0.0,0.0,0.0,0.0,14.06926407,29.50075643,26.89655172,3.753970546,7.653061224,7.36822218,0.0,0.0,0.0,0.03917344041,0.07709803015,0.07963685594,0.3595828839,0.7418397626,0.6978367062,0.4127966976,0.6968641115,1.012658228,0.9438414346,172.0,1.0,173.0
San Isidro,1,1,0,0,0,0,0,2,,4,0.1201,6550,3232,3318,346,175,171,359,194,165,705,369,336,1231,665,566,4083,1988,2095,531,210,321,47,19,28,705,1936,54537.9,1348.0,291,11224.0,205.8,2423.0,44.4,4.44,97.4,31.98,310.7,3415.0,3.16,1.05,10.91,2.13,3.299,5.55,0.0,6.0,4.0,2.0,1.418439716,1.418439716,2.976190476,2.7100271,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1526717557,0.3013863773,0.3094059406,1.418439716,2.976190476,2.7100271,1.883239171,3.115264798,4.761904762,3.436426117,,,
San Isidro Labrador,1,0,0,0,0,3,0,4,,1,0.2519,6243,3031,3212,251,125,126,256,137,119,507,262,245,1089,546,543,3859,1881,1978,788,342,446,86,34,52,507,1596,24783.6,1227.0,237,4871.0,196.5,940.8,38.0,3.8,94.4,31.68,240.0,4765.0,2.73,1.02,16.87,3.33,3.528,15.23,0.0,26.0,17.0,9.0,1.972386588,1.972386588,4.081632653,3.816793893,0.0,0.0,0.0,0.0,11.71875,25.21008403,21.89781022,2.754820937,5.524861878,5.494505495,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
San Jose,1,1,1,0,0,3,0,6,,1,0.2822,5844,2859,2985,276,145,131,313,149,164,589,294,295,1199,616,583,3458,1721,1737,598,228,370,59,16,43,589,1788,20708.7,1184.0,234,4195.6,202.6,829.2,40.0,4.0,95.8,29.72,321.0,4039.0,3.37,1.09,27.36,12.76,4.045,14.28,0.42,38.0,22.0,16.0,1.697792869,1.697792869,3.389830508,3.401360544,0.0,0.0,0.0,4.273504274,9.584664537,18.29268293,20.13422819,2.502085071,5.145797599,4.87012987,0.0,0.0,0.0,0.1711156742,0.3350083752,0.3497726478,1.697792869,3.389830508,3.401360544,1.672240803,2.702702703,4.385964912,4.273504274,1.0,0.0,1.0
San Martin de Porres,2,0,0,0,0,2,0,4,,4,0.208,11632,5747,5885,499,271,228,554,281,273,1053,552,501,2091,1073,1018,7576,3733,3843,912,389,523,82,22,60,1053,3144,55923.1,1672.0,503,8038.5,143.7,2418.3,43.2,4.32,97.7,33.04,247.5,7391.0,3.22,1.07,27.93,24.71,4.401,6.7,0.61,52.0,32.0,20.0,1.899335233,1.899335233,3.992015968,3.623188406,0.0,0.0,0.0,0.0,3.610108303,7.326007326,7.117437722,0.956480153,1.964636542,1.863932898,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
San Roque,2,3,1,0,0,5,0,11,,3,0.6515,19079,9183,9896,969,506,463,919,449,470,1888,955,933,3411,1650,1761,12018,5887,6131,1762,691,1071,148,39,109,1888,5299,29284.7,2877.0,1051,4416.0,150.8,1613.2,55.1,5.51,92.8,32.13,289.7,9888.0,3.39,1.13,24.79,3.36,3.283,13.49,0.03,93.0,46.0,47.0,1.059322034,1.059322034,2.143622722,2.094240838,0.0,0.0,0.0,0.9514747859,5.440696409,10.63829787,11.13585746,1.465845793,2.839295855,3.03030303,0.0,0.0,0.0,0.1572409455,0.303152789,0.326690624,1.588983051,3.215434084,3.141361257,1.70261067,2.801120448,4.341534009,2.854424358,34.0,7.0,41.0
San Vicente,1,2,0,0,0,1,0,4,,4,0.0938,7160,3556,3604,416,223,193,419,215,204,835,438,397,1501,773,728,4254,2109,2145,570,236,334,62,27,35,835,2336,76332.6,1124.0,283,11982.9,157.0,3017.1,39.5,3.95,98.7,29.96,358.7,6300.0,3.73,1.11,20.33,11.44,4.09,11.77,0.53,201.0,73.0,128.0,1.19760479,1.19760479,2.518891688,2.283105023,0.0,0.0,0.0,0.0,2.386634845,4.901960784,4.651162791,0.6662225183,1.373626374,1.293661061,0.0,0.0,0.0,0.2793296089,0.5549389567,0.5624296963,2.395209581,5.037783375,4.566210046,3.50877193,5.988023952,8.474576271,7.067137809,0.0,0.0,0.0
Sangandaan,4,1,1,0,0,13,0,19,,6,0.9171,21061,10256,10805,985,531,454,1061,536,525,2046,1067,979,3975,2038,1937,12849,6274,6575,2191,877,1314,283,78,205,2046,6021,22964.8,4158.0,1019,4533.9,197.4,1111.1,48.4,4.84,94.9,31.22,292.5,17390.0,3.7,1.07,18.02,10.74,4.151,7.19,0.47,299.0,149.0,150.0,1.955034213,1.955034213,4.085801839,3.748828491,0.0,0.0,0.0,0.9813542689,12.25259189,24.76190476,24.25373134,3.270440252,6.711409396,6.378802748,0.0,0.0,0.0,0.04748112625,0.09254974549,0.09750390016,0.4887585533,1.02145046,0.9372071228,0.456412597,0.7610350076,1.140250855,0.9813542689,3.0,0.0,3.0
Santol,1,0,0,0,0,5,0,6,,4,0.4405,6410,3165,3245,303,148,155,324,173,151,627,321,306,1238,669,569,3872,1893,1979,673,282,391,75,28,47,627,1865,14551.6,1284.0,360,2914.9,200.3,817.3,56.2,5.62,97.5,30.87,295.1,4362.0,3.45,1.06,22.37,1.03,2.217,7.13,0.95,95.0,49.0,46.0,1.594896332,1.594896332,3.267973856,3.115264798,0.0,0.0,0.0,0.0,15.43209877,33.11258278,28.9017341,4.038772213,8.787346221,7.473841555,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,62.0,0.0,62.0
Sauyo,7,1,0,0,0,16,0,24,,6,2.7416,76266,38107,38159,4566,2374,2192,4470,2243,2227,9036,4617,4419,16819,8706,8113,45452,22619,22833,4959,2165,2794,343,92,251,9036,25855,27818.1,8197.0,2277,2989.9,107.5,830.5,29.9,2.99,99.9,29.94,353.2,65445.0,3.63,1.04,12.57,3.9,3.733,4.19,0.11,810.0,332.0,478.0,0.7746790615,0.7746790615,1.584068794,1.516136019,0.0,0.0,0.0,0.0,3.579418345,7.184553211,7.133303611,0.9513050716,1.972143473,1.837813003,0.0,0.0,0.0,0.01311200273,0.02620613748,0.02624189781,0.1106684374,0.226295542,0.2165908599,0.2016535592,0.3579098067,0.4618937644,0.4391743522,355.0,6.0,361.0
Sienna,0,0,0,0,0,2,0,2,,1,0.3872,2009,919,1090,50,23,27,57,18,39,107,41,66,280,150,130,1295,583,712,327,145,182,38,13,25,107,387,5188.5,646.0,132,1668.4,321.6,340.9,65.7,6.57,84.3,35.44,148.5,22.0,3.67,1.17,16.67,0.0,2.0,5.56,0.0,6.0,4.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35.0877193,51.28205128,111.1111111,7.142857143,15.38461538,13.33333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.0,3.0,32.0
Sikatuna Village,0,0,1,0,0,3,0,4,,4,0.4169,6094,2855,3239,232,110,122,223,115,108,455,225,230,858,445,413,3891,1840,2051,890,345,545,140,46,94,455,1313,14617.4,1489.0,367,3571.6,244.3,880.3,60.2,6.02,88.1,33.66,219.6,1860.0,3.57,1.25,11.9,1.34,3.305,3.59,0.19,52.0,30.0,22.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.72479564,13.4529148,27.77777778,26.08695652,3.496503497,7.263922518,6.741573034,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,86.0,2.0,88.0
Silangan,1,0,0,0,0,3,0,4,,3,0.2249,4814,2331,2483,189,94,95,189,114,75,378,208,170,783,401,382,3135,1525,1610,518,197,321,50,13,37,378,1161,21405.1,897.0,262,3988.4,186.3,1165.0,54.4,5.44,93.9,33.44,228.8,2114.0,2.85,1.06,17.81,2.83,3.975,13.85,0.13,38.0,19.0,19.0,2.645502646,2.645502646,5.882352941,4.807692308,0.0,0.0,0.0,0.0,15.87301587,40.0,26.31578947,3.831417625,7.853403141,7.481296758,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Socorro,1,1,2,0,0,6,0,10,,3,1.1764,22198,10507,11691,908,450,458,912,445,467,1820,895,925,3242,1654,1588,15019,7098,7921,2117,860,1257,199,56,143,1820,5062,18869.4,4866.0,1430,4136.3,219.2,1215.6,64.4,6.44,89.9,35.68,217.6,10464.0,3.01,1.13,6.96,2.01,3.64,6.51,0.49,383.0,207.0,176.0,0.5494505495,0.5494505495,1.081081081,1.117318436,0.0,0.0,0.0,1.398601399,6.578947368,12.84796574,13.48314607,1.850709439,3.778337531,3.627569528,0.0,0.0,0.0,0.04504910352,0.0855358823,0.09517464547,0.5494505495,1.081081081,1.117318436,0.4723665564,0.7955449483,1.162790698,0.6993006993,1.0,0.0,1.0
